"Table 5. First Use of Marijuana in the Past Year: Among People Aged 12 or Older at Risk for Initiation of Marijuana Use; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: First use of marijuana in the past year among those at risk for initiation (%) = 100 * {[X1 / (0.5 * X1 + X2)] / 2}, where X1 is the number of marijuana initiates in the past 24 months, X2 is the number of individuals who never used marijuana, and (0.5 * X1 + X2) denotes the at-risk population. State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on simultaneous modeling of X1 and X2 components using the survey-weighted hierarchical Bayes small area estimation approach. These estimates include marijuana vaping. The associated Markov Chain Monte Carlo chains were used to calculate the posterior variance. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given. The age group shown is based on a respondent’s age at the time of the interview, not their age at first use. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
29,Minnesota,3.01%,2.48%,3.64%,4.18%,3.17%,5.49%,11.03%,8.40%,14.36%,1.50%,1.06%,2.12%,2.78%,2.22%,3.48%
30,Mississippi,1.76%,1.48%,2.09%,4.31%,3.37%,5.50%,5.23%,4.00%,6.81%,0.63%,0.45%,0.90%,1.32%,1.06%,1.65%
31,Missouri,2.96%,2.48%,3.55%,4.43%,3.45%,5.68%,8.35%,6.41%,10.80%,1.66%,1.19%,2.30%,2.66%,2.12%,3.33%
32,Montana,3.57%,2.89%,4.42%,4.58%,3.47%,6.01%,12.16%,9.15%,15.98%,1.82%,1.21%,2.72%,3.37%,2.60%,4.34%
33,Nebraska,2.27%,1.90%,2.70%,3.90%,3.00%,5.04%,6.18%,4.72%,8.05%,1.11%,0.79%,1.56%,1.95%,1.56%,2.43%
34,Nevada,3.29%,2.70%,4.01%,4.78%,3.62%,6.30%,13.41%,10.35%,17.21%,1.58%,1.08%,2.32%,2.99%,2.35%,3.80%
35,New Hampshire,3.06%,2.52%,3.70%,4.77%,3.68%,6.15%,11.09%,8.50%,14.36%,1.61%,1.11%,2.33%,2.76%,2.17%,3.49%
36,New Jersey,2.70%,2.32%,3.15%,5.14%,4.13%,6.38%,10.11%,8.17%,12.44%,1.21%,0.88%,1.65%,2.30%,1.90%,2.78%
37,New Mexico,3.17%,2.62%,3.83%,6.48%,5.01%,8.33%,12.06%,9.09%,15.85%,1.05%,0.69%,1.59%,2.50%,1.96%,3.18%
38,New York,2.48%,2.18%,2.81%,4.76%,3.97%,5.70%,8.88%,7.41%,10.60%,1.07%,0.82%,1.39%,2.11%,1.80%,2.47%
39,North Carolina,2.02%,1.72%,2.37%,4.02%,3.18%,5.06%,6.38%,5.05%,8.02%,0.90%,0.66%,1.23%,1.68%,1.37%,2.06%
40,North Dakota,2.50%,2.06%,3.03%,4.01%,2.93%,5.47%,7.43%,5.67%,9.69%,1.10%,0.75%,1.61%,2.23%,1.77%,2.80%
41,Ohio,2.81%,2.49%,3.18%,5.37%,4.57%,6.30%,9.45%,7.93%,11.24%,1.22%,0.93%,1.59%,2.32%,1.97%,2.73%
42,Oklahoma,2.62%,2.17%,3.16%,3.57%,2.67%,4.75%,8.22%,6.29%,10.67%,1.37%,0.94%,2.00%,2.42%,1.92%,3.05%
43,Oregon,4.00%,3.30%,4.82%,5.21%,3.97%,6.80%,12.23%,9.52%,15.57%,2.22%,1.57%,3.14%,3.73%,2.95%,4.70%
44,Pennsylvania,2.41%,2.09%,2.76%,4.28%,3.52%,5.20%,6.93%,5.73%,8.36%,1.27%,0.96%,1.67%,2.09%,1.75%,2.48%
45,Rhode Island,3.39%,2.81%,4.09%,5.20%,4.07%,6.63%,10.65%,8.15%,13.80%,1.77%,1.24%,2.53%,3.08%,2.44%,3.87%
46,South Carolina,1.97%,1.64%,2.36%,3.97%,3.04%,5.18%,6.45%,4.92%,8.41%,0.88%,0.62%,1.25%,1.63%,1.29%,2.05%
47,South Dakota,2.20%,1.82%,2.65%,3.61%,2.66%,4.89%,7.06%,5.40%,9.17%,1.02%,0.71%,1.46%,1.93%,1.53%,2.42%
48,Tennessee,2.48%,2.10%,2.92%,4.89%,3.80%,6.27%,8.21%,6.48%,10.36%,1.07%,0.77%,1.49%,2.05%,1.66%,2.52%
49,Texas,1.96%,1.73%,2.23%,4.21%,3.51%,5.05%,5.45%,4.56%,6.50%,0.81%,0.61%,1.07%,1.54%,1.30%,1.82%
50,Utah,2.24%,1.86%,2.71%,2.73%,2.00%,3.70%,6.20%,4.79%,7.99%,1.13%,0.77%,1.66%,2.14%,1.71%,2.69%
51,Vermont,4.36%,3.54%,5.36%,5.61%,4.33%,7.24%,14.08%,10.53%,18.58%,2.36%,1.61%,3.45%,4.10%,3.18%,5.27%
52,Virginia,2.72%,2.37%,3.11%,5.23%,4.39%,6.23%,8.75%,7.26%,10.52%,1.23%,0.92%,1.65%,2.29%,1.92%,2.72%
53,Washington,3.29%,2.78%,3.89%,4.66%,3.62%,5.97%,9.43%,7.39%,11.96%,1.90%,1.40%,2.58%,3.01%,2.44%,3.70%
54,West Virginia,1.97%,1.62%,2.38%,4.42%,3.45%,5.65%,5.80%,4.35%,7.71%,0.87%,0.58%,1.29%,1.56%,1.21%,2.01%
55,Wisconsin,2.80%,2.37%,3.30%,4.68%,3.69%,5.93%,8.80%,6.95%,11.10%,1.43%,1.04%,1.97%,2.45%,1.99%,3.01%
56,Wyoming,2.45%,2.02%,2.96%,4.80%,3.61%,6.36%,8.17%,6.17%,10.73%,0.96%,0.66%,1.41%,1.99%,1.56%,2.52%
