"Table 28. Pain Reliever Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Pain reliever use disorder estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition criteria. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on pain reliever use disorder.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
31,Missouri,2.22%,1.61%,3.06%,1.40%,0.90%,2.18%,1.25%,0.79%,1.97%,2.47%,1.73%,3.53%,2.31%,1.64%,3.24%
32,Montana,1.56%,1.11%,2.20%,0.96%,0.58%,1.59%,1.02%,0.60%,1.74%,1.71%,1.17%,2.51%,1.62%,1.13%,2.32%
33,Nebraska,1.97%,1.42%,2.73%,1.80%,1.10%,2.93%,1.12%,0.70%,1.78%,2.14%,1.47%,3.13%,1.99%,1.39%,2.84%
34,Nevada,2.21%,1.60%,3.06%,1.23%,0.79%,1.92%,1.22%,0.75%,1.97%,2.46%,1.72%,3.50%,2.31%,1.64%,3.25%
35,New Hampshire,1.79%,1.30%,2.46%,1.34%,0.85%,2.10%,0.97%,0.58%,1.63%,1.94%,1.37%,2.76%,1.83%,1.30%,2.56%
36,New Jersey,1.55%,1.13%,2.13%,1.20%,0.77%,1.86%,1.06%,0.67%,1.65%,1.66%,1.16%,2.37%,1.58%,1.13%,2.22%
37,New Mexico,2.55%,1.82%,3.55%,1.00%,0.62%,1.59%,1.16%,0.72%,1.87%,2.95%,2.05%,4.24%,2.71%,1.91%,3.83%
38,New York,1.72%,1.35%,2.20%,1.04%,0.69%,1.56%,0.99%,0.68%,1.43%,1.90%,1.45%,2.48%,1.78%,1.38%,2.30%
39,North Carolina,2.17%,1.61%,2.91%,0.89%,0.58%,1.36%,1.37%,0.90%,2.07%,2.44%,1.75%,3.38%,2.29%,1.69%,3.11%
40,North Dakota,1.68%,1.20%,2.35%,1.29%,0.83%,1.99%,1.11%,0.68%,1.78%,1.84%,1.25%,2.71%,1.72%,1.20%,2.47%
41,Ohio,2.13%,1.67%,2.71%,0.97%,0.68%,1.39%,1.19%,0.80%,1.76%,2.40%,1.84%,3.13%,2.24%,1.74%,2.89%
42,Oklahoma,2.43%,1.77%,3.33%,1.39%,0.88%,2.19%,1.35%,0.87%,2.08%,2.76%,1.94%,3.92%,2.55%,1.82%,3.56%
43,Oregon,1.79%,1.28%,2.52%,0.83%,0.52%,1.33%,0.93%,0.57%,1.52%,2.01%,1.39%,2.91%,1.88%,1.32%,2.67%
44,Pennsylvania,1.91%,1.46%,2.50%,1.23%,0.84%,1.80%,0.91%,0.59%,1.40%,2.13%,1.59%,2.85%,1.97%,1.48%,2.61%
45,Rhode Island,2.08%,1.49%,2.89%,0.92%,0.58%,1.46%,1.15%,0.71%,1.87%,2.34%,1.63%,3.35%,2.17%,1.54%,3.06%
46,South Carolina,2.28%,1.64%,3.16%,1.29%,0.84%,1.97%,1.49%,0.96%,2.31%,2.51%,1.73%,3.62%,2.38%,1.68%,3.36%
47,South Dakota,1.85%,1.29%,2.64%,1.31%,0.78%,2.17%,1.11%,0.65%,1.91%,2.04%,1.36%,3.06%,1.91%,1.30%,2.80%
48,Tennessee,2.14%,1.58%,2.90%,1.45%,0.95%,2.19%,1.34%,0.85%,2.10%,2.34%,1.67%,3.29%,2.21%,1.60%,3.05%
49,Texas,1.84%,1.44%,2.34%,1.01%,0.72%,1.43%,1.20%,0.81%,1.79%,2.06%,1.58%,2.70%,1.94%,1.50%,2.49%
50,Utah,1.56%,1.14%,2.13%,1.03%,0.68%,1.58%,1.07%,0.63%,1.79%,1.77%,1.23%,2.54%,1.64%,1.17%,2.29%
51,Vermont,2.14%,1.50%,3.03%,1.00%,0.62%,1.61%,1.07%,0.64%,1.79%,2.41%,1.64%,3.52%,2.23%,1.55%,3.20%
52,Virginia,1.57%,1.18%,2.09%,1.27%,0.90%,1.81%,1.20%,0.77%,1.85%,1.66%,1.19%,2.31%,1.60%,1.18%,2.17%
53,Washington,1.50%,1.06%,2.12%,0.78%,0.49%,1.23%,0.87%,0.53%,1.41%,1.67%,1.14%,2.44%,1.57%,1.09%,2.26%
54,West Virginia,3.33%,2.39%,4.61%,0.87%,0.55%,1.37%,1.26%,0.78%,2.04%,3.88%,2.74%,5.49%,3.55%,2.53%,4.96%
55,Wisconsin,1.99%,1.45%,2.73%,1.31%,0.87%,1.96%,1.04%,0.66%,1.62%,2.22%,1.55%,3.17%,2.06%,1.46%,2.89%
56,Wyoming,2.04%,1.42%,2.93%,1.28%,0.79%,2.08%,1.47%,0.87%,2.47%,2.22%,1.47%,3.34%,2.12%,1.44%,3.12%
