"Table 15. Alcohol Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
33,Nebraska,50.79%,47.72%,53.85%,6.32%,4.68%,8.49%,50.46%,45.64%,55.26%,56.78%,53.04%,60.43%,55.84%,52.48%,59.15%
34,Nevada,47.42%,44.31%,50.55%,8.37%,6.33%,10.99%,52.78%,47.89%,57.62%,51.11%,47.44%,54.77%,51.32%,47.96%,54.66%
35,New Hampshire,58.87%,55.88%,61.79%,8.75%,6.62%,11.47%,62.91%,58.01%,67.57%,63.00%,59.48%,66.38%,62.99%,59.80%,66.07%
36,New Jersey,50.02%,47.30%,52.74%,6.18%,4.74%,8.02%,50.05%,45.75%,54.36%,54.96%,51.67%,58.20%,54.35%,51.40%,57.28%
37,New Mexico,44.81%,41.64%,48.02%,7.81%,5.75%,10.51%,46.60%,41.69%,51.58%,48.99%,45.17%,52.82%,48.66%,45.23%,52.11%
38,New York,49.59%,47.69%,51.50%,6.63%,5.28%,8.31%,52.72%,49.51%,55.92%,53.51%,51.23%,55.78%,53.41%,51.37%,55.44%
39,North Carolina,45.27%,42.48%,48.08%,5.72%,4.26%,7.64%,48.67%,44.28%,53.07%,49.31%,45.98%,52.64%,49.22%,46.21%,52.24%
40,North Dakota,54.77%,51.08%,58.40%,8.19%,5.96%,11.15%,56.39%,51.33%,61.33%,60.36%,55.84%,64.71%,59.70%,55.71%,63.57%
41,Ohio,48.51%,46.53%,50.49%,6.60%,5.29%,8.21%,53.77%,50.52%,56.99%,52.56%,50.14%,54.97%,52.72%,50.57%,54.87%
42,Oklahoma,40.53%,37.59%,43.54%,4.98%,3.59%,6.87%,46.02%,41.16%,50.96%,44.28%,40.73%,47.89%,44.53%,41.32%,47.79%
43,Oregon,52.16%,48.70%,55.60%,9.12%,6.83%,12.08%,54.70%,49.73%,59.59%,56.23%,52.17%,60.21%,56.05%,52.35%,59.67%
44,Pennsylvania,51.58%,49.38%,53.78%,6.66%,5.29%,8.35%,52.06%,48.70%,55.40%,56.26%,53.62%,58.86%,55.71%,53.34%,58.06%
45,Rhode Island,54.92%,51.37%,58.43%,8.36%,6.23%,11.13%,58.02%,52.61%,63.24%,58.89%,54.67%,62.97%,58.76%,54.97%,62.45%
46,South Carolina,47.86%,44.31%,51.44%,7.01%,5.00%,9.75%,51.54%,46.73%,56.33%,51.95%,47.72%,56.15%,51.89%,48.06%,55.71%
47,South Dakota,49.84%,46.37%,53.31%,6.25%,4.48%,8.66%,54.73%,49.62%,59.73%,54.70%,50.52%,58.82%,54.70%,50.92%,58.43%
48,Tennessee,44.61%,41.36%,47.90%,5.74%,4.17%,7.86%,47.66%,43.02%,52.35%,48.63%,44.73%,52.55%,48.50%,44.97%,52.05%
49,Texas,42.86%,41.18%,44.56%,6.15%,4.93%,7.65%,45.20%,42.11%,48.34%,47.57%,45.49%,49.65%,47.21%,45.37%,49.06%
50,Utah,27.71%,25.43%,30.11%,2.89%,1.72%,4.83%,31.33%,26.87%,36.17%,31.11%,28.19%,34.18%,31.14%,28.56%,33.83%
51,Vermont,59.07%,55.70%,62.36%,9.56%,7.22%,12.55%,63.15%,58.16%,67.88%,63.03%,59.02%,66.86%,63.04%,59.44%,66.51%
52,Virginia,50.02%,47.73%,52.30%,7.77%,6.25%,9.61%,55.73%,51.87%,59.53%,53.97%,51.24%,56.67%,54.20%,51.72%,56.66%
53,Washington,52.34%,49.18%,55.47%,7.88%,5.94%,10.37%,49.00%,44.32%,53.69%,57.61%,53.88%,61.26%,56.55%,53.16%,59.89%
54,West Virginia,37.76%,34.30%,41.35%,4.55%,3.12%,6.57%,47.24%,42.15%,52.39%,39.85%,35.74%,44.11%,40.79%,37.05%,44.64%
55,Wisconsin,57.04%,53.93%,60.10%,8.46%,6.40%,11.10%,57.37%,52.68%,61.94%,62.54%,58.72%,66.21%,61.84%,58.47%,65.10%
56,Wyoming,51.73%,48.04%,55.39%,8.18%,5.98%,11.10%,50.05%,44.64%,55.46%,57.44%,53.03%,61.73%,56.45%,52.45%,60.36%
