"Table 10. Perceptions of Great Risk from Trying Heroin Once or Twice: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
33,Nebraska,78.86%,76.77%,80.80%,49.47%,44.54%,54.40%,69.01%,63.76%,73.81%,84.40%,82.02%,86.52%,82.13%,79.93%,84.14%
34,Nevada,82.35%,80.41%,84.14%,54.77%,50.09%,59.38%,73.64%,69.19%,77.66%,86.59%,84.40%,88.51%,85.04%,83.00%,86.88%
35,New Hampshire,82.00%,80.06%,83.80%,53.73%,49.08%,58.32%,77.89%,73.80%,81.50%,85.15%,82.90%,87.14%,84.27%,82.23%,86.12%
36,New Jersey,83.36%,81.57%,85.00%,55.50%,51.33%,59.58%,79.90%,76.33%,83.04%,86.92%,84.83%,88.76%,86.05%,84.14%,87.76%
37,New Mexico,81.73%,79.62%,83.67%,61.01%,55.80%,65.98%,80.34%,76.23%,83.88%,84.38%,81.86%,86.61%,83.83%,81.58%,85.85%
38,New York,80.58%,79.18%,81.91%,53.44%,50.11%,56.74%,75.96%,73.04%,78.66%,83.98%,82.33%,85.50%,82.93%,81.45%,84.32%
39,North Carolina,82.04%,80.21%,83.74%,56.85%,52.25%,61.33%,79.59%,75.96%,82.79%,85.26%,83.13%,87.17%,84.50%,82.56%,86.26%
40,North Dakota,79.16%,76.88%,81.27%,49.41%,43.96%,54.88%,73.14%,68.46%,77.35%,84.04%,81.31%,86.43%,82.25%,79.83%,84.44%
41,Ohio,82.67%,81.30%,83.95%,55.57%,52.31%,58.78%,77.91%,75.21%,80.38%,86.45%,84.87%,87.90%,85.33%,83.88%,86.67%
42,Oklahoma,80.62%,78.56%,82.53%,54.12%,49.35%,58.82%,76.38%,72.01%,80.26%,84.77%,82.35%,86.92%,83.54%,81.38%,85.49%
43,Oregon,77.69%,75.20%,80.00%,53.71%,48.55%,58.79%,74.30%,69.99%,78.18%,80.57%,77.65%,83.19%,79.79%,77.15%,82.20%
44,Pennsylvania,83.71%,82.30%,85.02%,56.62%,53.11%,60.06%,80.01%,77.16%,82.58%,87.06%,85.42%,88.54%,86.14%,84.65%,87.51%
45,Rhode Island,81.01%,78.70%,83.12%,52.91%,47.92%,57.84%,75.38%,70.77%,79.48%,84.55%,81.85%,86.91%,83.27%,80.83%,85.45%
46,South Carolina,84.73%,82.77%,86.50%,59.63%,54.16%,64.87%,79.58%,75.49%,83.13%,88.27%,86.05%,90.18%,87.14%,85.12%,88.93%
47,South Dakota,79.01%,76.63%,81.21%,51.26%,45.97%,56.53%,72.43%,68.09%,76.38%,83.63%,80.84%,86.09%,82.04%,79.51%,84.32%
48,Tennessee,82.36%,80.32%,84.23%,52.59%,47.62%,57.50%,75.10%,70.90%,78.88%,86.83%,84.52%,88.84%,85.29%,83.16%,87.19%
49,Texas,82.62%,81.43%,83.75%,57.78%,54.56%,60.93%,78.01%,75.40%,80.42%,86.81%,85.43%,88.08%,85.50%,84.24%,86.68%
50,Utah,78.24%,76.33%,80.03%,55.73%,51.38%,60.00%,77.21%,73.26%,80.73%,82.20%,79.91%,84.27%,81.28%,79.24%,83.16%
51,Vermont,77.57%,75.12%,79.84%,52.24%,47.44%,56.99%,74.13%,69.64%,78.16%,80.39%,77.51%,82.99%,79.54%,76.93%,81.93%
52,Virginia,82.83%,81.40%,84.17%,56.62%,53.37%,59.81%,77.02%,73.82%,79.94%,86.65%,84.91%,88.22%,85.37%,83.81%,86.79%
53,Washington,77.95%,75.66%,80.08%,53.15%,48.68%,57.57%,73.23%,68.90%,77.16%,81.23%,78.52%,83.66%,80.24%,77.79%,82.47%
54,West Virginia,83.33%,81.09%,85.35%,59.61%,54.69%,64.34%,79.71%,75.55%,83.31%,86.27%,83.67%,88.51%,85.43%,83.06%,87.52%
55,Wisconsin,81.15%,79.01%,83.12%,52.58%,47.94%,57.17%,74.12%,69.95%,77.89%,85.46%,82.93%,87.67%,83.91%,81.63%,85.96%
56,Wyoming,80.19%,77.80%,82.39%,54.93%,49.51%,60.24%,76.06%,71.39%,80.18%,83.92%,81.11%,86.38%,82.87%,80.31%,85.16%
