"Table 16. Binge Alcohol Use in the Past Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: Binge alcohol use is defined as drinking five or more drinks (for males) or four or more drinks (for females) on the same occasion (i.e., at the same time or within a couple of hours of each other) on at least 1 day in the past 30 days.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
32,Montana,22.94%,20.30%,25.81%,3.96%,2.80%,5.57%,34.67%,29.71%,39.99%,23.24%,20.26%,26.51%,24.75%,21.90%,27.84%
33,Nebraska,23.63%,21.22%,26.23%,3.36%,2.38%,4.71%,31.91%,27.33%,36.88%,24.90%,22.04%,28.00%,25.94%,23.28%,28.78%
34,Nevada,22.67%,20.24%,25.29%,3.74%,2.64%,5.26%,27.94%,23.58%,32.76%,24.09%,21.26%,27.17%,24.55%,21.91%,27.40%
35,New Hampshire,23.95%,21.61%,26.45%,3.74%,2.71%,5.13%,37.03%,32.22%,42.11%,24.05%,21.41%,26.90%,25.61%,23.10%,28.29%
36,New Jersey,22.02%,19.88%,24.33%,3.06%,2.25%,4.14%,28.57%,24.86%,32.60%,23.24%,20.73%,25.95%,23.90%,21.56%,26.40%
37,New Mexico,21.10%,18.67%,23.75%,3.76%,2.66%,5.29%,27.91%,23.61%,32.65%,22.12%,19.30%,25.21%,22.90%,20.26%,25.79%
38,New York,22.57%,20.92%,24.31%,4.26%,3.29%,5.50%,31.03%,28.07%,34.15%,23.18%,21.25%,25.23%,24.20%,22.42%,26.07%
39,North Carolina,20.80%,18.55%,23.25%,3.07%,2.20%,4.25%,27.56%,23.68%,31.80%,21.80%,19.20%,24.65%,22.57%,20.12%,25.23%
40,North Dakota,25.14%,22.15%,28.38%,3.91%,2.75%,5.55%,38.01%,32.99%,43.30%,25.30%,21.77%,29.19%,27.38%,24.12%,30.90%
41,Ohio,23.74%,22.04%,25.53%,3.67%,2.83%,4.75%,32.91%,29.89%,36.07%,24.67%,22.65%,26.82%,25.76%,23.91%,27.70%
42,Oklahoma,18.97%,16.74%,21.41%,2.99%,2.14%,4.16%,27.38%,23.25%,31.95%,19.63%,17.01%,22.53%,20.76%,18.32%,23.44%
43,Oregon,20.23%,17.81%,22.88%,3.33%,2.33%,4.73%,29.75%,25.36%,34.55%,20.63%,17.87%,23.69%,21.75%,19.14%,24.61%
44,Pennsylvania,22.33%,20.58%,24.19%,3.51%,2.65%,4.63%,30.92%,27.79%,34.24%,23.04%,21.00%,25.23%,24.07%,22.17%,26.07%
45,Rhode Island,25.67%,22.83%,28.73%,3.79%,2.74%,5.23%,37.28%,32.22%,42.64%,25.88%,22.67%,29.39%,27.47%,24.43%,30.74%
46,South Carolina,20.52%,18.00%,23.30%,3.15%,2.20%,4.49%,29.17%,24.72%,34.07%,21.21%,18.27%,24.47%,22.24%,19.50%,25.24%
47,South Dakota,23.30%,20.62%,26.22%,3.51%,2.47%,4.95%,35.10%,30.60%,39.88%,23.92%,20.70%,27.47%,25.51%,22.56%,28.69%
48,Tennessee,19.65%,17.28%,22.26%,3.07%,2.17%,4.33%,27.64%,23.70%,31.95%,20.36%,17.61%,23.41%,21.31%,18.74%,24.13%
49,Texas,20.93%,19.55%,22.37%,3.35%,2.61%,4.30%,26.55%,23.93%,29.35%,22.40%,20.71%,24.17%,23.01%,21.49%,24.61%
50,Utah,13.03%,11.32%,14.96%,2.13%,1.27%,3.53%,17.79%,14.26%,21.98%,13.80%,11.73%,16.16%,14.54%,12.63%,16.68%
51,Vermont,25.43%,22.62%,28.47%,4.11%,2.94%,5.71%,40.10%,35.04%,45.39%,25.12%,21.92%,28.61%,27.15%,24.13%,30.39%
52,Virginia,20.75%,18.96%,22.66%,3.75%,2.89%,4.86%,31.46%,27.94%,35.21%,21.04%,18.94%,23.31%,22.43%,20.49%,24.50%
53,Washington,18.99%,16.79%,21.40%,2.95%,2.09%,4.15%,24.64%,20.68%,29.07%,19.93%,17.39%,22.73%,20.51%,18.12%,23.12%
54,West Virginia,19.24%,16.62%,22.17%,3.36%,2.33%,4.81%,29.44%,24.87%,34.46%,19.42%,16.44%,22.80%,20.69%,17.87%,23.84%
55,Wisconsin,28.10%,25.41%,30.96%,4.49%,3.23%,6.22%,39.77%,35.30%,44.43%,28.96%,25.78%,32.37%,30.43%,27.51%,33.53%
56,Wyoming,22.81%,19.92%,26.00%,3.94%,2.80%,5.52%,31.73%,26.85%,37.05%,23.80%,20.44%,27.52%,24.86%,21.69%,28.32%
