"Table 2. Marijuana Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
NOTE: These estimates of marijuana use include marijuana vaping.,,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
33,Nebraska,16.93%,14.91%,19.16%,9.24%,7.28%,11.65%,30.70%,26.03%,35.80%,15.57%,13.38%,18.05%,17.80%,15.59%,20.24%
34,Nevada,29.76%,26.97%,32.71%,13.33%,10.66%,16.53%,45.61%,40.59%,50.72%,29.47%,26.27%,32.89%,31.39%,28.35%,34.60%
35,New Hampshire,24.02%,21.58%,26.66%,11.09%,8.90%,13.75%,45.21%,39.98%,50.56%,22.34%,19.63%,25.29%,25.09%,22.47%,27.90%
36,New Jersey,20.70%,18.61%,22.97%,11.35%,9.24%,13.88%,38.73%,34.51%,43.12%,19.22%,16.84%,21.84%,21.63%,19.36%,24.08%
37,New Mexico,29.96%,27.10%,32.97%,16.19%,12.92%,20.11%,48.94%,43.60%,54.31%,28.62%,25.31%,32.19%,31.39%,28.31%,34.64%
38,New York,22.75%,21.20%,24.37%,11.50%,9.75%,13.52%,37.65%,34.37%,41.04%,21.67%,19.90%,23.56%,23.75%,22.09%,25.50%
39,North Carolina,17.27%,15.33%,19.39%,10.46%,8.31%,13.08%,31.24%,26.84%,36.01%,15.89%,13.79%,18.25%,17.95%,15.87%,20.24%
40,North Dakota,17.31%,14.78%,20.16%,7.78%,5.80%,10.36%,30.70%,25.87%,35.99%,15.90%,13.10%,19.17%,18.32%,15.57%,21.42%
41,Ohio,22.76%,21.15%,24.47%,12.43%,10.62%,14.48%,40.53%,37.30%,43.85%,21.27%,19.40%,23.27%,23.80%,22.05%,25.65%
42,Oklahoma,26.37%,23.72%,29.20%,11.13%,8.71%,14.13%,44.01%,38.69%,49.47%,25.34%,22.29%,28.66%,28.08%,25.19%,31.17%
43,Oregon,30.57%,27.42%,33.92%,13.69%,10.98%,16.95%,46.15%,40.95%,51.42%,30.12%,26.54%,33.95%,32.10%,28.70%,35.70%
44,Pennsylvania,20.40%,18.76%,22.14%,10.57%,8.85%,12.58%,34.95%,31.55%,38.51%,19.27%,17.41%,21.28%,21.31%,19.54%,23.19%
45,Rhode Island,26.93%,24.01%,30.07%,13.22%,10.70%,16.21%,47.89%,42.30%,53.52%,24.86%,21.68%,28.34%,28.07%,24.96%,31.40%
46,South Carolina,17.98%,15.53%,20.73%,10.53%,8.20%,13.41%,31.90%,27.15%,37.06%,16.76%,14.11%,19.79%,18.72%,16.09%,21.66%
47,South Dakota,18.55%,16.12%,21.26%,8.37%,6.44%,10.83%,34.46%,29.38%,39.93%,17.24%,14.53%,20.34%,19.69%,17.03%,22.64%
48,Tennessee,20.00%,17.76%,22.44%,11.73%,9.40%,14.55%,33.53%,28.96%,38.43%,18.90%,16.43%,21.65%,20.83%,18.42%,23.46%
49,Texas,16.41%,15.19%,17.71%,9.40%,7.91%,11.13%,28.69%,25.92%,31.63%,15.24%,13.84%,16.76%,17.24%,15.89%,18.67%
50,Utah,15.95%,14.17%,17.90%,6.97%,5.40%,8.96%,26.26%,22.26%,30.69%,15.13%,13.13%,17.37%,17.18%,15.21%,19.34%
51,Vermont,34.26%,31.05%,37.62%,14.02%,10.99%,17.71%,58.69%,52.83%,64.31%,32.32%,28.65%,36.21%,35.89%,32.45%,39.47%
52,Virginia,19.27%,17.60%,21.07%,11.19%,9.41%,13.25%,36.28%,32.48%,40.26%,17.58%,15.69%,19.65%,20.07%,18.25%,22.03%
53,Washington,28.55%,25.79%,31.48%,11.80%,9.52%,14.55%,42.91%,37.95%,48.02%,28.34%,25.16%,31.75%,30.14%,27.14%,33.32%
54,West Virginia,18.39%,15.86%,21.21%,11.70%,9.18%,14.81%,33.36%,28.28%,38.85%,16.91%,14.19%,20.02%,19.00%,16.29%,22.03%
55,Wisconsin,21.97%,19.70%,24.42%,11.07%,8.85%,13.77%,42.52%,38.08%,47.09%,19.98%,17.43%,22.80%,23.04%,20.59%,25.69%
56,Wyoming,15.65%,13.21%,18.44%,8.84%,6.63%,11.68%,31.22%,25.88%,37.10%,14.09%,11.46%,17.21%,16.38%,13.75%,19.41%
