"Table 7. Cocaine Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
33,Nebraska,1.52%,1.09%,2.12%,0.20%,0.10%,0.44%,3.00%,2.01%,4.47%,1.44%,0.98%,2.12%,1.67%,1.20%,2.33%
34,Nevada,1.76%,1.25%,2.46%,0.23%,0.12%,0.47%,3.23%,2.17%,4.78%,1.73%,1.19%,2.53%,1.91%,1.36%,2.69%
35,New Hampshire,2.06%,1.52%,2.77%,0.25%,0.12%,0.52%,5.83%,4.00%,8.42%,1.71%,1.19%,2.44%,2.21%,1.63%,2.97%
36,New Jersey,1.34%,0.93%,1.92%,0.18%,0.09%,0.39%,2.91%,1.93%,4.36%,1.25%,0.82%,1.90%,1.45%,1.01%,2.10%
37,New Mexico,2.06%,1.48%,2.85%,0.31%,0.14%,0.67%,3.78%,2.53%,5.61%,2.00%,1.37%,2.90%,2.24%,1.61%,3.11%
38,New York,2.27%,1.79%,2.87%,0.18%,0.09%,0.35%,3.58%,2.64%,4.83%,2.28%,1.74%,2.98%,2.45%,1.93%,3.11%
39,North Carolina,1.77%,1.30%,2.42%,0.17%,0.09%,0.32%,3.23%,2.24%,4.63%,1.73%,1.21%,2.48%,1.93%,1.41%,2.64%
40,North Dakota,1.50%,1.04%,2.16%,0.16%,0.07%,0.38%,3.15%,2.06%,4.80%,1.34%,0.87%,2.07%,1.64%,1.13%,2.37%
41,Ohio,1.97%,1.54%,2.51%,0.19%,0.10%,0.36%,3.59%,2.70%,4.75%,1.93%,1.44%,2.58%,2.15%,1.67%,2.75%
42,Oklahoma,1.51%,1.07%,2.12%,0.20%,0.10%,0.39%,2.80%,1.84%,4.22%,1.46%,0.98%,2.16%,1.65%,1.17%,2.34%
43,Oregon,2.80%,2.05%,3.81%,0.24%,0.12%,0.47%,5.50%,3.80%,7.89%,2.69%,1.88%,3.82%,3.03%,2.22%,4.14%
44,Pennsylvania,1.77%,1.37%,2.30%,0.17%,0.09%,0.34%,3.38%,2.47%,4.62%,1.70%,1.26%,2.30%,1.92%,1.48%,2.49%
45,Rhode Island,2.28%,1.65%,3.15%,0.25%,0.12%,0.49%,4.98%,3.39%,7.25%,2.04%,1.39%,2.99%,2.45%,1.76%,3.39%
46,South Carolina,1.67%,1.13%,2.46%,0.16%,0.08%,0.32%,2.77%,1.80%,4.23%,1.68%,1.08%,2.60%,1.82%,1.23%,2.69%
47,South Dakota,1.50%,1.04%,2.17%,0.21%,0.10%,0.47%,3.39%,2.26%,5.05%,1.36%,0.87%,2.11%,1.64%,1.13%,2.38%
48,Tennessee,1.61%,1.13%,2.29%,0.16%,0.08%,0.32%,2.86%,1.93%,4.21%,1.59%,1.06%,2.37%,1.75%,1.23%,2.50%
49,Texas,1.52%,1.19%,1.93%,0.21%,0.11%,0.41%,2.18%,1.57%,3.00%,1.59%,1.20%,2.10%,1.68%,1.31%,2.14%
50,Utah,1.21%,0.82%,1.77%,0.21%,0.09%,0.48%,2.31%,1.46%,3.62%,1.13%,0.71%,1.78%,1.35%,0.91%,1.98%
51,Vermont,2.39%,1.72%,3.31%,0.19%,0.09%,0.43%,6.86%,4.70%,9.90%,1.89%,1.25%,2.86%,2.56%,1.84%,3.55%
52,Virginia,1.48%,1.11%,1.96%,0.16%,0.08%,0.31%,3.33%,2.36%,4.68%,1.34%,0.96%,1.87%,1.61%,1.21%,2.14%
53,Washington,1.83%,1.35%,2.49%,0.22%,0.11%,0.43%,3.86%,2.68%,5.51%,1.72%,1.21%,2.44%,1.98%,1.46%,2.70%
54,West Virginia,1.74%,1.18%,2.56%,0.15%,0.06%,0.34%,3.69%,2.35%,5.75%,1.63%,1.03%,2.54%,1.89%,1.28%,2.78%
55,Wisconsin,1.60%,1.15%,2.24%,0.19%,0.09%,0.39%,3.55%,2.45%,5.11%,1.46%,0.98%,2.17%,1.74%,1.25%,2.44%
56,Wyoming,1.55%,1.07%,2.23%,0.21%,0.09%,0.49%,3.61%,2.40%,5.40%,1.40%,0.90%,2.17%,1.69%,1.17%,2.45%
