"Table 17. Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
33,Nebraska,38.64%,35.83%,41.52%,36.51%,32.23%,41.01%,32.73%,28.58%,37.18%,39.95%,36.64%,43.35%,38.88%,35.90%,41.95%
34,Nevada,46.55%,43.55%,49.58%,39.68%,35.05%,44.49%,42.51%,38.25%,46.89%,47.87%,44.37%,51.39%,47.24%,44.04%,50.46%
35,New Hampshire,38.60%,35.68%,41.61%,34.08%,29.76%,38.68%,31.06%,27.02%,35.41%,40.05%,36.72%,43.47%,38.97%,35.91%,42.12%
36,New Jersey,46.11%,43.44%,48.80%,43.77%,39.66%,47.97%,41.52%,37.71%,45.43%,47.01%,43.87%,50.17%,46.33%,43.49%,49.20%
37,New Mexico,50.50%,47.41%,53.59%,43.38%,38.24%,48.67%,43.71%,39.17%,48.35%,52.43%,48.80%,56.03%,51.24%,47.94%,54.53%
38,New York,46.53%,44.51%,48.57%,41.81%,38.51%,45.19%,40.38%,37.37%,43.48%,47.93%,45.52%,50.34%,46.95%,44.78%,49.12%
39,North Carolina,45.87%,43.14%,48.63%,40.98%,36.58%,45.53%,42.24%,38.22%,46.36%,46.99%,43.82%,50.19%,46.35%,43.47%,49.26%
40,North Dakota,38.74%,35.37%,42.23%,39.35%,34.32%,44.62%,33.66%,29.62%,37.95%,39.67%,35.68%,43.81%,38.67%,35.10%,42.37%
41,Ohio,39.70%,37.75%,41.68%,38.60%,35.50%,41.79%,34.40%,31.59%,37.32%,40.62%,38.30%,42.98%,39.80%,37.73%,41.91%
42,Oklahoma,43.39%,40.37%,46.47%,41.76%,37.12%,46.55%,36.97%,32.78%,41.37%,44.72%,41.16%,48.34%,43.57%,40.35%,46.85%
43,Oregon,41.39%,38.15%,44.70%,37.62%,32.85%,42.63%,36.92%,32.67%,41.38%,42.39%,38.66%,46.22%,41.72%,38.30%,45.22%
44,Pennsylvania,42.38%,40.20%,44.59%,43.17%,39.64%,46.78%,35.39%,32.42%,38.47%,43.33%,40.75%,45.95%,42.30%,39.99%,44.65%
45,Rhode Island,46.11%,42.62%,49.63%,41.68%,36.86%,46.66%,40.45%,35.98%,45.08%,47.45%,43.42%,51.51%,46.47%,42.83%,50.15%
