"Table 39. Had Serious Thoughts of Suicide in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: The adult and youth suicide questions are in different sections of the questionnaire and have different response options. Because of this, data from youths aged 12 to 17 were not combined with data from adults aged 18 or older to produce an estimate for those aged 12 or older. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)",,,
36,New Jersey,4.73%,3.91%,5.72%,12.59%,10.52%,14.98%,13.30%,11.02%,15.98%,3.53%,2.72%,4.57%,,,
37,New Mexico,5.49%,4.46%,6.73%,14.74%,11.95%,18.06%,15.02%,12.21%,18.34%,3.98%,2.99%,5.29%,,,
38,New York,4.80%,4.08%,5.64%,11.30%,9.53%,13.33%,10.63%,8.96%,12.57%,3.93%,3.18%,4.85%,,,
39,North Carolina,4.45%,3.68%,5.38%,12.51%,10.33%,15.09%,11.33%,9.15%,13.96%,3.39%,2.62%,4.36%,,,
40,North Dakota,5.45%,4.43%,6.68%,12.62%,10.16%,15.57%,13.13%,10.57%,16.19%,3.94%,2.93%,5.27%,,,
41,Ohio,5.27%,4.56%,6.08%,13.53%,11.69%,15.60%,14.12%,12.25%,16.23%,3.93%,3.20%,4.80%,,,
42,Oklahoma,5.33%,4.37%,6.49%,12.39%,10.10%,15.12%,12.28%,9.78%,15.30%,4.14%,3.19%,5.35%,,,
43,Oregon,6.62%,5.43%,8.04%,13.72%,11.07%,16.88%,18.72%,15.24%,22.77%,4.92%,3.74%,6.44%,,,
44,Pennsylvania,5.34%,4.56%,6.24%,13.38%,11.42%,15.60%,12.64%,10.73%,14.83%,4.25%,3.45%,5.23%,,,
45,Rhode Island,5.48%,4.44%,6.75%,13.52%,11.00%,16.50%,13.04%,10.38%,16.27%,4.26%,3.22%,5.61%,,,
46,South Carolina,4.45%,3.57%,5.53%,12.66%,10.30%,15.46%,10.77%,8.47%,13.61%,3.51%,2.62%,4.69%,,,
47,South Dakota,5.96%,4.87%,7.28%,14.98%,12.17%,18.30%,16.53%,13.50%,20.08%,4.21%,3.17%,5.59%,,,
48,Tennessee,5.56%,4.59%,6.73%,14.54%,11.95%,17.56%,14.59%,11.95%,17.69%,4.19%,3.23%,5.43%,,,
49,Texas,4.30%,3.75%,4.94%,12.04%,10.31%,14.02%,11.78%,10.11%,13.69%,3.00%,2.46%,3.65%,,,
50,Utah,7.56%,6.48%,8.79%,12.12%,9.96%,14.68%,17.16%,14.38%,20.36%,5.35%,4.28%,6.67%,,,
51,Vermont,5.99%,4.89%,7.31%,14.71%,12.15%,17.71%,15.43%,12.43%,19.00%,4.51%,3.42%,5.92%,,,
52,Virginia,5.25%,4.44%,6.21%,13.76%,11.81%,15.98%,11.33%,9.41%,13.58%,4.32%,3.45%,5.40%,,,
53,Washington,5.62%,4.66%,6.76%,12.92%,10.61%,15.64%,14.24%,11.65%,17.30%,4.41%,3.43%,5.64%,,,
54,West Virginia,6.62%,5.36%,8.15%,14.63%,11.84%,17.94%,15.46%,12.58%,18.85%,5.33%,4.04%,7.01%,,,
55,Wisconsin,5.53%,4.56%,6.69%,12.92%,10.56%,15.73%,14.31%,11.73%,17.35%,4.15%,3.18%,5.39%,,,
56,Wyoming,6.48%,5.26%,7.95%,14.42%,11.73%,17.60%,17.03%,13.87%,20.75%,4.85%,3.65%,6.41%,,,
