"Table 4. Perceptions of Great Risk from Smoking Marijuana Once a Month: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
33,Nebraska,20.36%,17.99%,22.96%,20.47%,16.94%,24.51%,11.11%,8.65%,14.16%,21.96%,19.14%,25.06%,20.35%,17.84%,23.11%
34,Nevada,20.49%,18.05%,23.16%,17.05%,13.77%,20.92%,10.67%,8.35%,13.54%,22.21%,19.36%,25.34%,20.83%,18.24%,23.68%
35,New Hampshire,13.01%,11.12%,15.16%,15.58%,12.57%,19.16%,6.83%,5.08%,9.12%,13.62%,11.47%,16.09%,12.79%,10.83%,15.05%
36,New Jersey,23.64%,21.24%,26.23%,22.53%,19.31%,26.11%,13.91%,11.51%,16.72%,25.15%,22.32%,28.20%,23.75%,21.19%,26.52%
37,New Mexico,18.28%,15.79%,21.07%,16.76%,13.34%,20.85%,9.05%,6.85%,11.88%,19.93%,16.99%,23.23%,18.44%,15.80%,21.41%
38,New York,22.09%,20.41%,23.87%,21.03%,18.36%,23.96%,12.03%,10.22%,14.12%,23.70%,21.74%,25.79%,22.18%,20.41%,24.06%
39,North Carolina,21.38%,19.05%,23.91%,20.31%,17.02%,24.05%,12.56%,10.05%,15.60%,22.88%,20.17%,25.83%,21.49%,19.03%,24.17%
40,North Dakota,17.26%,14.60%,20.29%,19.93%,15.95%,24.62%,9.61%,7.31%,12.55%,18.44%,15.29%,22.06%,16.98%,14.19%,20.18%
41,Ohio,15.65%,14.15%,17.28%,18.98%,16.50%,21.74%,8.07%,6.66%,9.75%,16.42%,14.65%,18.37%,15.32%,13.73%,17.06%
42,Oklahoma,19.62%,17.11%,22.40%,21.45%,17.58%,25.90%,11.74%,9.17%,14.90%,20.74%,17.81%,24.02%,19.41%,16.78%,22.35%
43,Oregon,14.04%,11.66%,16.81%,14.06%,10.97%,17.85%,8.29%,6.25%,10.90%,14.85%,12.13%,18.06%,14.04%,11.55%,16.96%
