"Table 25. Alcohol Use Disorder in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023  ",,,,,,,,,,,,,,,,
"NOTE: Alcohol use disorder estimates are based on Diagnostic and Statistical Manual of Mental Disorders, 5th edition criteria. See 2023 National Survey on Drug Use and Health (NSDUH): Methodological Summary and Definitions at https://www.samhsa.gov/data/report/2023-methodological-summary-and-definitions for details on who was eligible to receive questions on alcohol use disorder.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
31,Missouri,11.34%,9.57%,13.39%,3.08%,2.05%,4.62%,16.30%,13.32%,19.81%,11.55%,9.55%,13.89%,12.19%,10.28%,14.40%
32,Montana,10.97%,9.18%,13.06%,3.49%,2.28%,5.30%,18.75%,15.17%,22.94%,10.61%,8.67%,12.93%,11.68%,9.77%,13.92%
33,Nebraska,11.33%,9.70%,13.19%,2.82%,1.94%,4.08%,16.46%,13.44%,19.99%,11.57%,9.72%,13.72%,12.29%,10.51%,14.33%
34,Nevada,12.17%,10.44%,14.15%,4.12%,2.82%,5.97%,18.34%,15.15%,22.03%,12.25%,10.31%,14.50%,12.98%,11.11%,15.10%
35,New Hampshire,11.60%,9.97%,13.45%,2.76%,1.82%,4.17%,19.18%,15.74%,23.15%,11.39%,9.58%,13.48%,12.32%,10.59%,14.30%
36,New Jersey,9.39%,8.07%,10.91%,2.46%,1.68%,3.57%,15.07%,12.50%,18.07%,9.37%,7.88%,11.12%,10.08%,8.64%,11.72%
37,New Mexico,10.35%,8.75%,12.20%,4.20%,2.80%,6.25%,17.75%,14.49%,21.57%,9.92%,8.18%,12.00%,10.99%,9.29%,12.96%
38,New York,9.97%,8.93%,11.12%,2.83%,2.08%,3.83%,15.06%,13.04%,17.34%,9.94%,8.77%,11.24%,10.60%,9.49%,11.83%
39,North Carolina,9.61%,8.16%,11.29%,2.46%,1.62%,3.73%,14.08%,11.44%,17.21%,9.74%,8.12%,11.65%,10.32%,8.76%,12.13%
40,North Dakota,10.80%,9.10%,12.78%,2.54%,1.64%,3.92%,16.90%,13.74%,20.60%,10.65%,8.71%,12.96%,11.68%,9.83%,13.82%
41,Ohio,11.00%,9.88%,12.23%,3.06%,2.28%,4.10%,16.85%,14.71%,19.24%,11.03%,9.74%,12.48%,11.80%,10.59%,13.12%
42,Oklahoma,9.39%,7.90%,11.13%,2.76%,1.84%,4.12%,14.59%,11.70%,18.04%,9.37%,7.69%,11.37%,10.14%,8.52%,12.02%
43,Oregon,11.73%,9.85%,13.91%,3.86%,2.55%,5.82%,17.63%,14.29%,21.55%,11.71%,9.62%,14.17%,12.44%,10.44%,14.76%
44,Pennsylvania,10.05%,8.89%,11.35%,2.57%,1.88%,3.50%,15.37%,13.27%,17.73%,10.05%,8.71%,11.57%,10.74%,9.49%,12.13%
45,Rhode Island,12.59%,10.57%,14.93%,3.19%,2.06%,4.91%,19.17%,15.49%,23.47%,12.43%,10.19%,15.07%,13.37%,11.22%,15.85%
46,South Carolina,10.09%,8.40%,12.07%,3.12%,2.08%,4.65%,15.38%,12.37%,18.96%,10.09%,8.20%,12.36%,10.78%,8.97%,12.90%
47,South Dakota,11.33%,9.47%,13.51%,2.99%,1.91%,4.63%,19.65%,16.06%,23.82%,11.04%,8.96%,13.53%,12.26%,10.24%,14.62%
48,Tennessee,9.06%,7.54%,10.85%,2.17%,1.37%,3.42%,13.60%,10.85%,16.91%,9.17%,7.47%,11.21%,9.75%,8.11%,11.68%
49,Texas,9.75%,8.84%,10.74%,2.72%,2.03%,3.62%,13.77%,12.02%,15.74%,10.02%,8.94%,11.22%,10.58%,9.58%,11.67%
50,Utah,7.17%,6.00%,8.54%,1.88%,1.08%,3.23%,10.61%,8.19%,13.64%,7.28%,5.92%,8.93%,7.90%,6.60%,9.42%
51,Vermont,11.14%,9.34%,13.23%,2.73%,1.75%,4.22%,18.72%,15.32%,22.66%,10.73%,8.77%,13.07%,11.81%,9.91%,14.03%
52,Virginia,10.23%,9.03%,11.57%,3.04%,2.24%,4.12%,15.68%,13.34%,18.34%,10.22%,8.84%,11.78%,10.95%,9.65%,12.39%
53,Washington,10.76%,9.21%,12.54%,2.90%,1.95%,4.31%,16.95%,13.91%,20.50%,10.74%,8.99%,12.78%,11.51%,9.83%,13.43%
54,West Virginia,8.14%,6.63%,9.96%,2.20%,1.34%,3.57%,14.11%,11.24%,17.57%,7.89%,6.25%,9.92%,8.68%,7.07%,10.62%
55,Wisconsin,11.97%,10.17%,14.03%,3.82%,2.59%,5.60%,19.05%,15.92%,22.63%,11.78%,9.76%,14.17%,12.77%,10.84%,14.98%
56,Wyoming,11.74%,9.82%,13.96%,3.37%,2.20%,5.13%,19.16%,15.63%,23.28%,11.64%,9.48%,14.20%,12.64%,10.58%,15.04%
