"Table 40. Made Any Suicide Plans in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023    ",,,,,,,,,,,,,,,,
"NOTE: The adult and youth suicide questions are in different sections of the questionnaire and have different response options. Because of this, data from youths aged 12 to 17 were not combined with data from adults aged 18 or older to produce an estimate for those aged 12 or older. For details, see Section B of 2022-2023 National Surveys on Drug Use and Health: Guide to State Tables and Summary of Small Area Estimation Methodology at https://www.samhsa.gov/data/report/2022-2023-nsduh-guide-state-tables-and-summary-sae-methodology.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"18+
Estimate","18+
95% CI (Lower)","18+
95% CI (Upper)","12-17
Estimate","12-17
95% CI (Lower)","12-17
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26+
Estimate","26+
95% CI (Lower)","26+
95% CI (Upper)",,,
36,New Jersey,1.20%,0.88%,1.63%,5.81%,4.44%,7.57%,4.05%,3.07%,5.33%,0.80%,0.51%,1.24%,,,
37,New Mexico,1.65%,1.22%,2.23%,7.32%,5.31%,10.00%,5.35%,3.91%,7.28%,1.07%,0.69%,1.65%,,,
38,New York,1.29%,0.99%,1.68%,5.51%,4.37%,6.93%,3.98%,3.10%,5.10%,0.89%,0.61%,1.29%,,,
39,North Carolina,1.35%,1.01%,1.80%,5.81%,4.31%,7.78%,4.17%,3.12%,5.55%,0.91%,0.61%,1.37%,,,
40,North Dakota,1.78%,1.30%,2.43%,6.46%,4.74%,8.74%,4.70%,3.43%,6.42%,1.20%,0.77%,1.87%,,,
41,Ohio,1.79%,1.42%,2.27%,5.89%,4.68%,7.40%,5.04%,4.05%,6.27%,1.30%,0.94%,1.80%,,,
42,Oklahoma,1.50%,1.11%,2.02%,6.16%,4.57%,8.25%,5.00%,3.67%,6.77%,0.90%,0.58%,1.39%,,,
43,Oregon,1.68%,1.24%,2.29%,6.48%,4.77%,8.73%,6.00%,4.45%,8.04%,1.08%,0.69%,1.67%,,,
44,Pennsylvania,1.42%,1.09%,1.83%,5.35%,4.19%,6.80%,4.38%,3.43%,5.59%,0.97%,0.67%,1.41%,,,
45,Rhode Island,1.54%,1.11%,2.13%,5.27%,3.85%,7.17%,4.72%,3.45%,6.42%,1.03%,0.64%,1.63%,,,
46,South Carolina,1.36%,0.98%,1.89%,5.99%,4.37%,8.15%,3.92%,2.83%,5.39%,0.98%,0.64%,1.52%,,,
47,South Dakota,1.95%,1.43%,2.65%,6.84%,5.05%,9.22%,5.87%,4.38%,7.83%,1.30%,0.83%,2.04%,,,
48,Tennessee,1.67%,1.22%,2.26%,6.68%,4.97%,8.93%,4.76%,3.51%,6.41%,1.20%,0.79%,1.82%,,,
49,Texas,1.32%,1.05%,1.66%,5.34%,4.19%,6.79%,4.65%,3.66%,5.89%,0.74%,0.52%,1.06%,,,
50,Utah,2.14%,1.62%,2.83%,6.11%,4.60%,8.07%,5.42%,3.97%,7.36%,1.39%,0.94%,2.06%,,,
51,Vermont,1.76%,1.29%,2.40%,5.90%,4.36%,7.95%,5.98%,4.45%,7.99%,1.10%,0.69%,1.75%,,,
52,Virginia,1.26%,0.95%,1.68%,5.94%,4.71%,7.46%,3.72%,2.83%,4.88%,0.88%,0.59%,1.32%,,,
53,Washington,1.36%,1.01%,1.83%,7.25%,5.47%,9.56%,5.01%,3.75%,6.66%,0.85%,0.55%,1.32%,,,
54,West Virginia,1.98%,1.45%,2.71%,6.22%,4.57%,8.40%,5.85%,4.37%,7.79%,1.42%,0.93%,2.18%,,,
55,Wisconsin,1.79%,1.34%,2.39%,6.42%,4.78%,8.57%,5.40%,4.09%,7.10%,1.22%,0.81%,1.84%,,,
56,Wyoming,1.88%,1.37%,2.59%,6.49%,4.79%,8.75%,6.08%,4.45%,8.24%,1.23%,0.79%,1.93%,,,
