"Table 9. Heroin Use in the Past Year: Among People Aged 12 or Older; by Age Group and State, Annual Average Percentages, 2022 and 2023",,,,,,,,,,,,,,,,
 -- = not available.,,,,,,,,,,,,,,,,
"NOTE: Estimates for youths aged 12 to 17 are not available for past year heroin use because this outcome was extremely rare among youths aged 12 to 17 in the 2022 and 2023 National Surveys on Drug Use and Health. As a result, estimates for people aged 12 or older are also not produced.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on the survey-weighted hierarchical Bayes small area estimation approach and generated by Markov Chain Monte Carlo techniques. For the “Total U.S.” row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
NOTE: The column labeled “Order” can be used to sort the data to the original sort order.,,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Surveys on Drug Use and Health, 2022 and 2023.",,,,,,,,,,,,,,,,
Order,State,"12+ Estimate","12+ 95% CI (Lower)","12+ 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26+ Estimate","26+ 95% CI (Lower)","26+ 95% CI (Upper)","18+ Estimate","18+ 95% CI (Lower)","18+ 95% CI (Upper)"
40,North Dakota,--,--,--,--,--,--,0.37%,0.16%,0.87%,0.25%,0.11%,0.58%,0.27%,0.13%,0.55%
41,Ohio,--,--,--,--,--,--,0.22%,0.11%,0.44%,0.33%,0.18%,0.63%,0.32%,0.18%,0.57%
42,Oklahoma,--,--,--,--,--,--,0.10%,0.04%,0.27%,0.32%,0.15%,0.67%,0.29%,0.14%,0.58%
43,Oregon,--,--,--,--,--,--,0.17%,0.06%,0.44%,0.48%,0.23%,1.02%,0.44%,0.22%,0.91%
44,Pennsylvania,--,--,--,--,--,--,0.11%,0.04%,0.26%,0.33%,0.18%,0.61%,0.30%,0.17%,0.54%
45,Rhode Island,--,--,--,--,--,--,0.31%,0.12%,0.80%,0.37%,0.17%,0.81%,0.36%,0.18%,0.74%
46,South Carolina,--,--,--,--,--,--,0.08%,0.03%,0.23%,0.30%,0.14%,0.67%,0.28%,0.13%,0.59%
47,South Dakota,--,--,--,--,--,--,0.35%,0.16%,0.79%,0.32%,0.13%,0.77%,0.33%,0.15%,0.69%
48,Tennessee,--,--,--,--,--,--,0.18%,0.07%,0.43%,0.34%,0.17%,0.69%,0.32%,0.16%,0.62%
49,Texas,--,--,--,--,--,--,0.03%,0.01%,0.18%,0.29%,0.16%,0.55%,0.26%,0.14%,0.47%
50,Utah,--,--,--,--,--,--,0.08%,0.02%,0.24%,0.40%,0.20%,0.80%,0.34%,0.18%,0.66%
51,Vermont,--,--,--,--,--,--,0.73%,0.30%,1.76%,0.40%,0.19%,0.84%,0.44%,0.24%,0.84%
52,Virginia,--,--,--,--,--,--,0.05%,0.01%,0.19%,0.29%,0.14%,0.59%,0.25%,0.13%,0.51%
53,Washington,--,--,--,--,--,--,0.11%,0.04%,0.32%,0.35%,0.16%,0.78%,0.32%,0.15%,0.69%
54,West Virginia,--,--,--,--,--,--,0.64%,0.21%,1.94%,0.62%,0.26%,1.44%,0.62%,0.28%,1.34%
55,Wisconsin,--,--,--,--,--,--,0.42%,0.19%,0.94%,0.25%,0.11%,0.56%,0.27%,0.14%,0.54%
56,Wyoming,--,--,--,--,--,--,0.30%,0.13%,0.70%,0.41%,0.16%,1.03%,0.40%,0.17%,0.91%
