ABBREV,DATA,YEAR,PUFID,URL
OM,Event File - Other Medical Expenses,2001,HC-059C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-059C
DV,Event File - Dental Visits,2001,HC-059B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-059B
RX,Event File - Prescribed Medicines,2001,HC-059A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-059A
PRPL,Person Round Plan,2001,HC-057,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-057
JOBS,Jobs File,2001,HC-056,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-056
PIT,Point-In-Time (1996-2019),2002,HC-053,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-053
COND,Medical Conditions,2000,HC-052,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-052
CLNK,Linkage: Condition-Event Link,2000,HC-051I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-051I
RXLK,Linkage: RX-Event Link,2000,HC-051I,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-051I
HH,Event File - Home Health,2000,HC-051H,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-051H
OB,Event File - Office-Based Medical Provider Visits,2000,HC-051G,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-051G
OP,Event File - Outpatient Visits,2000,HC-051F,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-051F
ER,Event File - Emergency Room Visits,2000,HC-051E,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-051E
IP,Event File - Hospital Inpatient Stays,2000,HC-051D,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-051D
OM,Event File - Other Medical Expenses,2000,HC-051C,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-051C
DV,Event File - Dental Visits,2000,HC-051B,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-051B
RX,Event File - Prescribed Medicines,2000,HC-051A,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-051A
FYC,Full-Year Consolidated File,2000,HC-050,https://www.meps.ahrq.gov/mepsweb/data_stats/download_data_files_detail.jsp?cboPufNumber=HC-050
