"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 TK124)","2023-Dec-12 16:14 ± < 00:01","0.07176","0.07175","5.98","5.97","23.8","46 m -  100 m","0"
"(2023 XA12)","2023-Dec-12 17:06 ± < 00:01","0.08664","0.08608","18.39","18.39","23.1","64 m -  140 m","0"
"(2023 YH)","2023-Dec-12 19:10 ± < 00:01","0.05916","0.05862","19.69","19.68","23.8","46 m -  100 m","0"
"(2023 XO1)","2023-Dec-12 21:10 ± < 00:01","0.01107","0.01104","7.21","7.18","27.1","10 m -   23 m","0"
"(2006 XR4)","2023-Dec-13 00:02 ± 4_09:02","0.08783","0.00583","12.11","12.10","26.2","16 m -   35 m","0"
"(2023 XR14)","2023-Dec-13 00:49 ± < 00:01","0.00305","0.00304","10.32","10.23","28.3","5.7 m -   13 m","0"
"(2023 XH7)","2023-Dec-13 03:13 ±    00:02","0.00628","0.00627","19.80","19.78","27.6","8.0 m -   18 m","0"
"(2019 XQ1)","2023-Dec-13 03:44 ±    21:11","0.05531","0.03512","10.59","10.59","25.3","23 m -   51 m","0"
"(2023 XQ5)","2023-Dec-13 04:21 ± < 00:01","0.05745","0.05734","10.78","10.78","23.6","51 m -  110 m","0"
"(2023 YN)","2023-Dec-13 14:34 ± < 00:01","0.05393","0.05376","8.02","8.02","25.9","18 m -   40 m","0"
"(2023 XQ16)","2023-Dec-13 14:35 ± < 00:01","0.00084","0.00084","3.16","1.92","30.6","2.0 m -  4.6 m","0"
"(2023 WU2)","2023-Dec-13 17:08 ± < 00:01","0.08222","0.08220","13.02","13.02","22.5","85 m -  190 m","0"
"(2023 YG)","2023-Dec-13 17:27 ± < 00:01","0.02060","0.02051","9.33","9.32","27.0","11 m -   24 m","0"
"(2015 WZ12)","2023-Dec-14 03:29 ±    00:47","0.09021","0.08601","11.45","11.45","26.3","15 m -   33 m","0"
"(2021 XS4)","2023-Dec-14 09:43 ±    04:19","0.05640","0.04342","10.23","10.22","26.0","17 m -   38 m","0"
"(2023 XU4)","2023-Dec-14 17:27 ± < 00:01","0.01010","0.01009","6.19","6.15","27.4","8.9 m -   20 m","0"
"(2023 XB12)","2023-Dec-14 21:21 ± < 00:01","0.03350","0.03340","4.88","4.86","25.9","17 m -   39 m","0"
"(2023 XO10)","2023-Dec-14 22:58 ± < 00:01","0.02684","0.02639","16.45","16.45","26.5","13 m -   29 m","0"
"(2023 XB3)","2023-Dec-14 23:54 ±    00:13","0.03550","0.03532","9.95","9.94","26.9","11 m -   25 m","0"
"(2023 XN15)","2023-Dec-15 00:18 ± < 00:01","0.00482","0.00481","19.52","19.49","26.7","12 m -   27 m","0"
"(2016 XE18)","2023-Dec-15 03:12 ± 1_11:29","0.07741","0.07159","7.81","7.81","25.3","23 m -   52 m","0"
"(2023 XL4)","2023-Dec-15 08:07 ± < 00:01","0.02930","0.02914","6.55","6.54","26.1","16 m -   36 m","0"
"(2023 XK10)","2023-Dec-15 08:41 ± < 00:01","0.04521","0.04499","13.57","13.56","24.7","31 m -   69 m","0"
"(2023 XY2)","2023-Dec-15 14:02 ± < 00:01","0.02471","0.02463","13.38","13.37","25.1","26 m -   58 m","0"
"(2023 XU12)","2023-Dec-15 14:32 ± < 00:01","0.03246","0.03232","4.73","4.71","27.1","10 m -   22 m","0"
"(2023 XK4)","2023-Dec-15 18:24 ± < 00:01","0.00876","0.00875","4.25","4.18","27.0","11 m -   24 m","0"
"(2023 XG18)","2023-Dec-15 18:27 ± < 00:01","0.00534","0.00533","13.97","13.93","28.4","5.6 m -   12 m","0"
"(2023 XV2)","2023-Dec-15 23:18 ± < 00:01","0.04069","0.04056","6.51","6.50","26.0","17 m -   38 m","0"
"(2023 XS14)","2023-Dec-15 23:50 ± < 00:01","0.02046","0.02040","14.82","14.81","25.8","18 m -   41 m","0"
"(2023 XT12)","2023-Dec-16 02:53 ±    00:05","0.09652","0.09565","8.76","8.76","24.0","42 m -   95 m","0"
"(2023 XJ13)","2023-Dec-16 03:00 ±    00:02","0.02491","0.02462","9.23","9.22","27.0","11 m -   24 m","0"
"(2024 AY1)","2023-Dec-16 03:03 ±    00:13","0.06005","0.05975","11.90","11.90","23.4","55 m -  120 m","0"
"(2023 XP10)","2023-Dec-16 16:49 ±    00:07","0.08959","0.08738","16.23","16.23","24.6","32 m -   72 m","0"
"(2023 XM4)","2023-Dec-16 19:31 ± < 00:01","0.06013","0.05996","6.70","6.70","25.2","24 m -   53 m","0"
"(2023 XA2)","2023-Dec-16 23:17 ±    00:03","0.08018","0.07964","6.71","6.70","25.5","22 m -   48 m","0"
"(2024 AV)","2023-Dec-16 23:41 ±    00:03","0.02187","0.02181","3.33","3.29","26.5","13 m -   29 m","0"
"(2023 XH27)","2023-Dec-17 01:55 ± < 00:01","0.07677","0.07675","3.56","3.55","25.8","18 m -   41 m","0"
"(2023 XJ10)","2023-Dec-17 04:06 ± < 00:01","0.02137","0.02130","16.08","16.07","25.5","21 m -   47 m","0"
"(2023 XU1)","2023-Dec-17 05:11 ± < 00:01","0.05476","0.05455","7.88","7.87","25.4","22 m -   50 m","0"
"(2023 XL14)","2023-Dec-17 05:51 ± < 00:01","0.00382","0.00382","6.34","6.23","27.9","7.0 m -   16 m","0"
"(2023 WF1)","2023-Dec-17 07:59 ± < 00:01","0.07939","0.07935","7.43","7.42","24.4","35 m -   79 m","0"
"(2017 YL1)","2023-Dec-17 11:10 ± 5_19:25","0.05480","0.00748","13.38","13.38","24.8","29 m -   65 m","0"
"(2023 XH1)","2023-Dec-17 13:07 ± < 00:01","0.03898","0.03885","5.43","5.42","26.7","12 m -   28 m","0"
"(2023 YY)","2023-Dec-17 16:03 ± < 00:01","0.03760","0.03747","6.68","6.67","24.8","30 m -   67 m","0"
"(2017 WJ16)","2023-Dec-17 19:21 ± < 00:01","0.05856","0.05856","5.53","5.52","24.4","34 m -   77 m","0"
"(2023 XA14)","2023-Dec-17 21:04 ±    00:03","0.02737","0.02722","5.36","5.34","27.3","9.1 m -   20 m","0"
"(2024 BH2)","2023-Dec-18 03:19 ±    01:53","0.01987","0.01965","8.61","8.59","24.3","37 m -   82 m","0"
"(2023 XL11)","2023-Dec-18 12:11 ± < 00:01","0.01582","0.01578","11.68","11.66","26.7","12 m -   28 m","0"
"(2023 YA1)","2023-Dec-18 16:31 ± < 00:01","0.00991","0.00989","6.06","6.01","28.2","6.1 m -   14 m","0"
"(2023 YS)","2023-Dec-19 04:42 ± < 00:01","0.01359","0.01356","31.49","31.49","25.6","21 m -   46 m","0"
"(2023 XF2)","2023-Dec-19 15:11 ± < 00:01","0.02497","0.02489","7.98","7.97","26.1","16 m -   35 m","0"
"(2016 XD2)","2023-Dec-19 17:40 ± < 00:01","0.04804","0.04804","6.85","6.85","24.0","41 m -   92 m","0"
"(2023 YO)","2023-Dec-19 18:47 ± < 00:01","0.01186","0.01184","4.33","4.27","28.6","5.2 m -   12 m","0"
"(2023 XS)","2023-Dec-19 23:36 ± < 00:01","0.02935","0.02929","9.06","9.05","25.4","22 m -   50 m","0"
"(2023 NY)","2023-Dec-20 07:30 ±    01:02","0.08088","0.08062","2.61","2.60","27.1","9.9 m -   22 m","0"
"(2023 XO)","2023-Dec-20 18:05 ± < 00:01","0.09422","0.09420","5.55","5.55","24.5","33 m -   74 m","0"
"(2024 AB1)","2023-Dec-20 18:34 ±    00:05","0.06172","0.06157","14.46","14.46","22.7","76 m -  170 m","0"
"(2023 XH4)","2023-Dec-20 20:35 ± < 00:01","0.05632","0.05599","8.68","8.67","25.3","23 m -   51 m","0"
"(2017 XQ60)","2023-Dec-21 00:47 ± < 00:01","0.06581","0.06581","16.24","16.23","24.5","33 m -   75 m","0"
"(2024 AH)","2023-Dec-21 07:38 ±    00:05","0.02402","0.02389","12.12","12.11","23.7","48 m -  110 m","0"
"(2023 YB)","2023-Dec-21 08:27 ± < 00:01","0.02255","0.02250","11.16","11.15","25.6","21 m -   46 m","0"
"(2023 YF)","2023-Dec-21 19:02 ±    00:02","0.06485","0.06448","7.64","7.64","25.7","19 m -   43 m","0"
"(2024 AN)","2023-Dec-22 04:07 ±    00:02","0.01862","0.01853","8.47","8.45","26.5","13 m -   30 m","0"
"(2023 XF5)","2023-Dec-22 15:34 ± < 00:01","0.07835","0.07825","38.70","38.70","21.1","160 m -  350 m","0"
"(2024 AM1)","2023-Dec-22 22:26 ±    00:06","0.02773","0.02744","19.90","19.89","24.5","33 m -   75 m","0"
"(2022 YG)","2023-Dec-22 23:10 ± < 00:01","0.02861","0.02860","5.13","5.11","26.7","12 m -   27 m","0"
"(2023 YP)","2023-Dec-23 02:19 ±    00:03","0.00238","0.00238","7.74","7.59","28.0","6.7 m -   15 m","0"
"(2023 XN10)","2023-Dec-23 15:22 ± < 00:01","0.04703","0.04698","9.88","9.87","23.8","46 m -  100 m","0"
"(2023 XD18)","2023-Dec-23 18:55 ± < 00:01","0.00990","0.00988","11.01","10.99","26.6","12 m -   28 m","0"
"(2019 YG2)","2023-Dec-23 20:59 ± < 00:01","0.06582","0.06582","8.99","8.99","25.3","23 m -   52 m","0"
"(2023 XN11)","2023-Dec-24 00:34 ±    00:02","0.02373","0.02329","10.41","10.40","24.7","31 m -   69 m","0"
"(2023 XV5)","2023-Dec-24 03:25 ± < 00:01","0.07726","0.07704","6.21","6.21","24.5","33 m -   74 m","0"
"(1994 WR12)","2023-Dec-24 09:26 ± < 00:01","0.09476","0.09476","8.29","8.29","22.4","88 m -  200 m","0"
"(2010 UE51)","2023-Dec-24 13:44 ± < 00:01","0.02293","0.02293","1.31","1.22","28.5","5.4 m -   12 m","0"
"(2023 XP13)","2023-Dec-24 15:10 ± < 00:01","0.03038","0.03012","18.71","18.71","25.6","21 m -   46 m","0"
"(2016 CS247)","2023-Dec-24 15:48 ± 1_12:02","0.07522","0.06632","5.95","5.95","25.7","20 m -   44 m","0"
"(2023 YT)","2023-Dec-25 00:02 ± < 00:01","0.01567","0.01564","4.43","4.39","26.2","15 m -   34 m","0"
"(2023 XC14)","2023-Dec-25 00:39 ± < 00:01","0.09800","0.09800","11.11","11.11","23.7","49 m -  110 m","0"
"(2023 YE)","2023-Dec-25 03:43 ± < 00:01","0.06789","0.06713","9.38","9.37","24.4","34 m -   77 m","0"
"(2023 XK16)","2023-Dec-25 07:28 ±    00:07","0.02231","0.02202","7.41","7.40","24.9","28 m -   63 m","0"
"(2020 YR2)","2023-Dec-25 12:16 ± 1_02:07","0.03532","0.02577","8.03","8.02","28.3","5.8 m -   13 m","0"
"(2023 XJ3)","2023-Dec-25 13:40 ± < 00:01","0.04218","0.04214","9.21","9.21","24.1","39 m -   88 m","0"
"(2020 KT4)","2023-Dec-25 19:59 ± < 00:01","0.03422","0.03422","7.28","7.27","23.2","60 m -  130 m","0"
"(2000 YS134)","2023-Dec-25 20:46 ± < 00:01","0.05848","0.05848","4.93","4.92","24.0","42 m -   93 m","0"
"(2024 AE)","2023-Dec-26 03:06 ± < 00:01","0.03415","0.03395","12.66","12.66","25.1","25 m -   57 m","0"
"(2024 BP)","2023-Dec-26 07:10 ±    01:23","0.04671","0.04635","1.70","1.66","26.4","14 m -   30 m","0"
"(2024 AJ)","2023-Dec-26 12:08 ±    00:01","0.02132","0.02113","7.32","7.30","27.3","9.2 m -   21 m","0"
"(2023 XO7)","2023-Dec-26 13:28 ±    00:02","0.01613","0.01608","6.72","6.69","25.9","17 m -   39 m","0"
"(2024 AG)","2023-Dec-27 12:59 ±    00:07","0.01859","0.01829","14.72","14.71","26.0","17 m -   38 m","0"
"(2023 XU17)","2023-Dec-27 18:43 ±    00:03","0.05500","0.05412","7.23","7.23","25.2","24 m -   53 m","0"
"(2024 AT)","2023-Dec-28 02:29 ± < 00:01","0.08223","0.08180","23.09","23.08","22.7","77 m -  170 m","0"
"(2023 YC2)","2023-Dec-28 22:53 ±    00:03","0.00360","0.00357","14.57","14.51","27.2","9.5 m -   21 m","0"
"(2024 AR)","2023-Dec-29 01:48 ± < 00:01","0.06632","0.06538","20.54","20.54","23.6","50 m -  110 m","0"
"(2023 XC8)","2023-Dec-29 11:05 ± < 00:01","0.07944","0.07941","5.63","5.62","25.0","27 m -   60 m","0"
"(2023 YZ)","2023-Dec-29 12:55 ± < 00:01","0.02551","0.02547","5.61","5.60","25.7","19 m -   42 m","0"
"(2022 NK)","2023-Dec-29 13:48 ±    03:41","0.06061","0.05335","11.85","11.85","27.3","9.3 m -   21 m","0"
"(2023 YA2)","2023-Dec-30 00:37 ± < 00:01","0.06930","0.06908","7.20","7.19","25.2","24 m -   54 m","0"
"(2023 YM)","2023-Dec-30 01:18 ±    00:04","0.02597","0.02583","12.36","12.35","24.9","28 m -   62 m","0"
"(2024 AL3)","2023-Dec-30 02:23 ± < 00:01","0.04322","0.04321","11.41","11.40","23.7","48 m -  110 m","0"
"(2024 AE1)","2023-Dec-30 05:33 ± < 00:01","0.01292","0.01292","3.50","3.44","27.2","9.5 m -   21 m","0"
"(2023 XO15)","2023-Dec-30 10:37 ±    00:02","0.05278","0.05252","3.53","3.52","25.8","18 m -   41 m","0"
"(2024 DN)","2023-Dec-30 15:49 ± 3_15:28","0.03333","0.02996","4.17","4.15","25.4","22 m -   50 m","0"
"(2002 AS4)","2023-Dec-30 16:13 ± < 00:01","0.09571","0.09571","27.26","27.26","22.3","94 m -  210 m","0"
"(2024 AB)","2023-Dec-31 00:21 ±    00:01","0.00438","0.00437","8.18","8.10","27.5","8.4 m -   19 m","0"
"(2024 AK)","2023-Dec-31 03:14 ±    00:12","0.09035","0.08852","20.97","20.97","23.5","53 m -  120 m","0"
"(2024 AO1)","2023-Dec-31 04:40 ± < 00:01","0.05691","0.05687","14.02","14.01","23.0","66 m -  150 m","0"
"(2024 AL)","2023-Dec-31 08:07 ±    00:04","0.00239","0.00239","12.56","12.48","27.7","7.7 m -   17 m","0"
"(2023 YU)","2023-Dec-31 12:52 ± < 00:01","0.07453","0.07423","15.97","15.97","24.0","43 m -   96 m","0"
"(2024 AM2)","2023-Dec-31 14:23 ±    00:03","0.01658","0.01649","17.41","17.40","24.9","28 m -   62 m","0"
"(2024 AQ3)","2023-Dec-31 14:30 ±    00:01","0.02472","0.02462","4.65","4.63","26.4","14 m -   31 m","0"
"(2024 AF1)","2023-Dec-31 15:21 ±    00:02","0.05976","0.05846","12.41","12.40","25.4","22 m -   50 m","0"
"(2023 XE12)","2023-Dec-31 15:32 ±    00:14","0.03760","0.03715","11.77","11.77","24.6","32 m -   71 m","0"
"(2021 AM6)","2023-Dec-31 17:26 ±    10:03","0.04682","0.03862","6.65","6.64","26.6","13 m -   28 m","0"
"(2024 AV2)","2024-Jan-01 02:47 ±    00:01","0.00971","0.00971","8.06","8.03","26.6","13 m -   28 m","0"
"(2023 YR1)","2024-Jan-01 02:48 ± < 00:01","0.01661","0.01656","13.30","13.28","25.7","19 m -   43 m","0"
"(2024 AA6)","2024-Jan-01 12:30 ± < 00:01","0.04914","0.04893","7.12","7.12","25.1","25 m -   56 m","0"
"(2023 YY1)","2024-Jan-01 20:09 ± < 00:01","0.02713","0.02707","6.48","6.46","25.8","19 m -   42 m","0"
"(2023 YR)","2024-Jan-02 03:18 ± < 00:01","0.01156","0.01153","12.22","12.20","24.9","28 m -   62 m","0"
"(2024 AQ1)","2024-Jan-02 08:59 ± < 00:01","0.04383","0.04356","15.47","15.47","23.7","48 m -  110 m","0"
"(2011 YP10)","2024-Jan-02 12:59 ±    18:04","0.07049","0.07049","5.81","5.80","23.9","43 m -   97 m","0"
"(2024 AA)","2024-Jan-02 16:39 ± < 00:01","0.00408","0.00407","21.43","21.40","27.4","8.8 m -   20 m","0"
"(2024 AR3)","2024-Jan-02 18:03 ±    00:01","0.05266","0.05223","13.04","13.04","23.6","51 m -  110 m","0"
"(2024 AH3)","2024-Jan-03 02:56 ± < 00:01","0.01800","0.01796","9.88","9.87","25.7","20 m -   44 m","0"
"(2024 AM3)","2024-Jan-03 09:45 ±    08:39","0.01791","0.01653","9.64","9.62","26.6","13 m -   28 m","0"
